season,week,franchise_name,elo,offense_points,defense_points,potential_points,composite,adjusted_all_play,actual_all_play,expected_all_play,k
2026,0,Arizona Cardinals,1506.93137,,,,,,,,
2026,0,Atlanta Falcons,1358.188489,,,,,,,,
2026,0,Baltimore Ravens,1494.430962,,,,,,,,
2026,0,Buffalo Bills,1541.317106,,,,,,,,
2026,0,Carolina Panthers,1500.537077,,,,,,,,
2026,0,Chicago Bears,1612.983402,,,,,,,,
2026,0,Cincinnati Bengals,1431.738295,,,,,,,,
2026,0,Cleveland Browns,1478.450496,,,,,,,,
2026,0,Dallas Cowboys,1528.631783,,,,,,,,
2026,0,Denver Broncos,1429.205626,,,,,,,,
2026,0,Detroit Lions,1441.002154,,,,,,,,
2026,0,Green Bay Packers,1456.957815,,,,,,,,
2026,0,Houston Texans,1552.92384,,,,,,,,
2026,0,Indianapolis Colts,1553.878586,,,,,,,,
2026,0,Jacksonville Jaguars,1525.220644,,,,,,,,
2026,0,Kansas City Chiefs,1475.976891,,,,,,,,
2026,0,Las Vegas Raiders,1556.816523,,,,,,,,
2026,0,Los Angeles Chargers,1469.288784,,,,,,,,
2026,0,Los Angeles Rams,1490.407515,,,,,,,,
2026,0,Miami Dolphins,1592.483059,,,,,,,,
2026,0,Minnesota Vikings,1481.820518,,,,,,,,
2026,0,New England Patriots,1501.373011,,,,,,,,
2026,0,New Orleans Saints,1507.223612,,,,,,,,
2026,0,New York Giants,1574.961425,,,,,,,,
2026,0,New York Jets,1483.945693,,,,,,,,
2026,0,Philadelphia Eagles,1552.817389,,,,,,,,
2026,0,Pittsburgh Steelers,1411.325952,,,,,,,,
2026,0,San Francisco 49ers,1535.52152,,,,,,,,
2026,0,Seattle Seahawks,1426.316266,,,,,,,,
2026,0,Tampa Bay Buccaneers,1511.122264,,,,,,,,
2026,0,Tennessee Titans,1512.212317,,,,,,,,
2026,0,Washington Commanders,1503.989616,,,,,,,,
2026,1,Arizona Cardinals,1491.683875461252,118.89999999999999,72.2,243.29999999999998,128.08910621586,9,11,15.80616002861041,2.240249197
