season,week,franchise_name,elo_sheet,elo_shadow,absolute_difference,within_tolerance
2026,0,Arizona Cardinals,1506.93137027439,1506.93137,2.743900040513836e-7,TRUE
2026,0,Atlanta Falcons,1358.18848923711,1358.188489,2.371100435993867e-7,TRUE
2026,0,Baltimore Ravens,1494.43096191218,1494.430962,8.781989890849218e-8,TRUE
2026,0,Buffalo Bills,1541.31710558316,1541.317106,4.1684006646391936e-7,TRUE
2026,0,Carolina Panthers,1500.53707684213,1500.537077,1.5786986296006944e-7,TRUE
2026,0,Chicago Bears,1612.9834017448,1612.983402,2.552001205913257e-7,TRUE
2026,0,Cincinnati Bengals,1431.73829460246,1431.738295,3.9754013414494693e-7,TRUE
2026,0,Cleveland Browns,1478.45049607044,1478.450496,7.044013727863785e-8,TRUE
2026,0,Dallas Cowboys,1528.63178266122,1528.631783,3.3877995520015247e-7,TRUE
2026,0,Denver Broncos,1429.20562556318,1429.205626,4.3681984607246704e-7,TRUE
2026,0,Detroit Lions,1441.00215433092,1441.002154,3.309198746137554e-7,TRUE
2026,0,Green Bay Packers,1456.95781494063,1456.957815,5.936999514233321e-8,TRUE
2026,0,Houston Texans,1552.9238402833,1552.92384,2.833000962709775e-7,TRUE
2026,0,Indianapolis Colts,1553.87858634093,1553.878586,3.409300006751437e-7,TRUE
2026,0,Jacksonville Jaguars,1525.22064379247,1525.220644,2.0753009266627487e-7,TRUE
2026,0,Kansas City Chiefs,1475.9768910021,1475.976891,2.1000232663936913e-9,TRUE
2026,0,Las Vegas Raiders,1556.81652320147,1556.816523,2.0147012946836185e-7,TRUE
2026,0,Los Angeles Chargers,1469.28878389188,1469.288784,1.0812004802573938e-7,TRUE
2026,0,Los Angeles Rams,1490.40751463423,1490.407515,3.657701199699659e-7,TRUE
2026,0,Miami Dolphins,1592.48305911941,1592.483059,1.1941006050619762e-7,TRUE
2026,0,Minnesota Vikings,1481.82051818102,1481.820518,1.810199137253221e-7,TRUE
2026,0,New England Patriots,1501.37301062797,1501.373011,3.720299446285935e-7,TRUE
2026,0,New Orleans Saints,1507.22361222148,1507.223612,2.2147992240206804e-7,TRUE
2026,0,New York Giants,1574.9614250943,1574.961425,9.430004865862429e-8,TRUE
2026,0,New York Jets,1483.94569299415,1483.945693,5.8498699218034744e-9,TRUE
2026,0,Philadelphia Eagles,1552.81738941371,1552.817389,4.137100404477678e-7,TRUE
2026,0,Pittsburgh Steelers,1411.32595210201,1411.325952,1.0201006261922885e-7,TRUE
2026,0,San Francisco 49ers,1535.52151980331,1535.52152,1.9669005268951878e-7,TRUE
2026,0,Seattle Seahawks,1426.31626630641,1426.316266,3.0640990189567674e-7,TRUE
2026,0,Tampa Bay Buccaneers,1511.12226417743,1511.122264,1.7742991076374892e-7,TRUE
2026,0,Tennessee Titans,1512.21231742403,1512.212317,4.2403007682878524e-7,TRUE
2026,0,Washington Commanders,1503.98961562576,1503.989616,3.7424001675390173e-7,TRUE
2026,1,Arizona Cardinals,1491.68387570786,1491.683875461252,2.466078967700014e-7,TRUE
2026,1,Atlanta Falcons,1341.54208707805,1341.5420868615856,2.1646428649546579e-7,TRUE
2026,1,Baltimore Ravens,1529.72838403119,1529.7283841102362,7.904623089416418e-8,TRUE
2026,1,Buffalo Bills,1527.10287561926,1527.1028759947485,3.754885256057605e-7,TRUE
2026,1,Carolina Panthers,1519.5375500594,1519.5375502014526,1.42052613227861e-7,TRUE
2026,1,Chicago Bears,1629.97111337091,1629.9711136027704,2.3186044018075336e-7,TRUE
2026,1,Cincinnati Bengals,1448.62690056787,1448.6269009269006,3.5903053685615305e-7,TRUE
2026,1,Cleveland Browns,1468.31018721355,1468.310187150316,6.32339833828155e-8,TRUE
2026,1,Dallas Cowboys,1538.08641915906,1538.0864194639944,3.049344741157256e-7,TRUE
2026,1,Denver Broncos,1432.89849841849,1432.8984988131176,3.9462770473619457e-7,TRUE
2026,1,Detroit Lions,1425.6229242972,1425.622923998881,2.9831880965502933e-7,TRUE
2026,1,Green Bay Packers,1453.44512925349,1453.4451293071063,5.361630428524222e-8,TRUE
2026,1,Houston Texans,1546.52065358493,1546.5206533296728,2.5525719138386194e-7,TRUE
2026,1,Indianapolis Colts,1556.34224989629,1556.342249589038,3.0725209398951847e-7,TRUE
2026,1,Jacksonville Jaguars,1517.09514389959,1517.0951440864137,1.868236267910106e-7,TRUE
2026,1,Kansas City Chiefs,1499.6885231598,1499.688523158008,1.792159309843555e-9,TRUE
2026,1,Las Vegas Raiders,1581.39343995872,1581.3934397771102,1.8160972103942186e-7,TRUE
