season,franchise_id,conference,division,bonus_wins_raw,bonus_ties_raw,bonus_losses_raw,bonus_wins,pred_q1_bonus_wins,pred_q2_bonus_wins,pred_q3_bonus_wins,pred_q4_bonus_wins,pred_rs_bonus_wins,pred_total_bonus
2026,0005,00,01,0,0,0,0,1,0.819,0.8056666666666666,0.8081666666666667,0.9923333333333333,4.425166666666667
2026,0004,00,00,0,0,0,0,1,0.7208333333333333,0.7191666666666666,0.7128333333333333,0.9658333333333333,4.118666666666666
2026,0014,00,03,0,0,0,0,0.9993333333333333,0.6923333333333334,0.6775,0.6848333333333333,0.9373333333333334,3.9913333333333334
2026,0015,00,03,0,0,0,0,0.9826666666666667,0.634,0.6338333333333334,0.621,0.8661666666666666,3.7376666666666667
2026,0010,00,02,0,0,0,0,0.9258333333333333,0.669,0.6743333333333333,0.6803333333333333,0.896,3.8455
2026,0006,00,01,0,0,0,0,0.435,0.26716666666666666,0.27616666666666667,0.2758333333333333,0.15183333333333332,1.406
2026,0012,00,02,0,0,0,0,0.21383333333333332,0.17266666666666666,0.16533333333333333,0.1785,0.034333333333333334,0.7646666666666666
2026,0003,00,00,0,0,0,0,0.8746666666666667,0.5995,0.6091666666666666,0.59,0.7871666666666667,3.4604999999999997
2026,0016,00,03,0,0,0,0,0.45966666666666667,0.48533333333333334,0.49166666666666664,0.4865,0.46066666666666667,2.3838333333333335
2026,0001,00,00,0,0,0,0,0.42083333333333334,0.5653333333333334,0.5638333333333333,0.5801666666666667,0.5726666666666667,2.7028333333333334
2026,0002,00,00,0,0,0,0,0.2815,0.3496666666666667,0.3348333333333333,0.3521666666666667,0.20066666666666666,1.5188333333333333
2026,0013,00,03,0,0,0,0,0.32066666666666666,0.48583333333333334,0.49483333333333335,0.492,0.4098333333333333,2.2031666666666667
2026,0008,00,01,0,0,0,0,0.2843333333333333,0.41433333333333333,0.41083333333333333,0.42083333333333334,0.27466666666666667,1.805
2026,0011,00,02,0,0,0,0,0.059166666666666666,0.31033333333333335,0.2901666666666667,0.303,0.08683333333333333,1.0494999999999999
2026,0009,00,02,0,0,0,0,0.037333333333333336,0.3641666666666667,0.38116666666666665,0.38533333333333336,0.1435,1.3114999999999999
2026,0007,00,01,0,0,0,0,0.0305,0.7175,0.7161666666666666,0.7093333333333334,0.6611666666666667,2.8346666666666662
2026,0018,01,04,0,0,0,0,1,0.7196666666666667,0.7146666666666667,0.7078333333333333,0.9686666666666667,4.110833333333334
2026,0031,01,07,0,0,0,0,1,0.686,0.704,0.6988333333333333,0.9613333333333334,4.050166666666667
2026,0025,01,06,0,0,0,0,0.9988333333333334,0.5131666666666667,0.5335,0.532,0.795,3.3725
2026,0029,01,07,0,0,0,0,0.5435,0.329,0.33216666666666667,0.319,0.24783333333333332,1.7715
2026,0026,01,06,0,0,0,0,0.6246666666666667,0.5705,0.5555,0.5641666666666667,0.6496666666666666,2.9645
2026,0027,01,06,0,0,0,0,0.543,0.44466666666666665,0.4573333333333333,0.46116666666666667,0.45166666666666666,2.3578333333333337
2026,0022,01,05,0,0,0,0,0.19916666666666666,0.42983333333333335,0.4435,0.41883333333333334,0.274,1.7653333333333334
2026,0021,01,05,0,0,0,0,0.9971666666666666,0.8113333333333334,0.8275,0.8085,0.9868333333333333,4.431333333333334
2026,0020,01,04,0,0,0,0,0.592,0.43633333333333335,0.4255,0.43383333333333335,0.433,2.3206666666666664
2026,0023,01,05,0,0,0,0,0.5528333333333333,0.4235,0.43433333333333335,0.43,0.4078333333333333,2.2485
2026,0030,01,07,0,0,0,0,0.4181666666666667,0.7135,0.71,0.7003333333333334,0.777,3.3190000000000004
2026,0019,01,04,0,0,0,0,0.166,0.3913333333333333,0.38566666666666666,0.3963333333333333,0.20516666666666666,1.5445
2026,0024,01,05,0,0,0,0,0.027166666666666665,0.1775,0.16,0.16633333333333333,0.012833333333333334,0.5438333333333334
2026,0017,01,04,0,0,0,0,0.011833333333333333,0.5431666666666667,0.5461666666666667,0.5246666666666666,0.325,1.9508333333333334
2026,0032,01,07,0,0,0,0,3.333333333333333e-4,0.2905,0.2886666666666667,0.2925,0.042166666666666665,0.9141666666666667
2026,0028,01,06,0,0,0,0,0,0.253,0.23683333333333334,0.2648333333333333,0.021,0.7756666666666666
